title,description,price,area,location,date
2 Parcelles à vendre à Fidjrossè Adjaha Cotonou,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Nous mettons en vente à Fidjrossè Cotonou dans la rue de la BOA ADJAHA, deux parcelles ensembles ouvrant sur deux (02) rues. Les parcelles sont adjacentes et sont entièrement clôturées avec portail.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><ul><li dir=""auto"">Superficie : 643m²</li><li dir=""auto"">Document : Permis d’habiter</li><li dir=""auto"">Prix : 65 millions F négociables</li><li dir=""auto"">Commission : 5 %</li><li dir=""auto"">Visite sur rendez-vous</li><li dir=""auto"">Droit de visite : 5000 F</li></ul></div></div>","
65.000.000 FCFA Négociables","
N° ID Propriété49054","

Cotonou, Fidjrossè","janvier 4, 2024"
2 Parcelles ensembles sur TF à vendre à Calavi Togba,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto""><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Dans un domaine titre foncier, nous avons à disposition 2 parcelles ensembles morcelées à vendre à Calavi TOGBA, juste après le bar secteur 3.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><ul><li dir=""auto"">Superficie par parcelle : 400 m²</li><li dir=""auto"">Prix unitaire : 5 500 000 FCFA non négociable</li><li dir=""auto"">Visite sur rendez-vous</li><li dir=""auto"">Commission : 5 %</li><li dir=""auto"">Droit de visite : 5000 F</li></ul></div></div></div></div>","
5.500.000 FCFA / Parcelle","
800.00 m2","

Abomey-Calavi, Calavi, Togba","janvier 4, 2024"
Terrain à vendre au bord du goudron à Togbin,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Nous vous présentons un terrain à vendre déjà lotie et recasée à Togbin plage au bord du goudron en première position de la route des pêches. Elle est en angle de rue une position idéale pour tout projet.</p><p>Superficie : 426m²</p><p>Document : Titre Foncier  encours.</p><p>Prix : 90 millions Fcfa</p><p>Droit de visite : 5000 Fcfa</p><p>Commission : 5 %</p><p> </p><p> </p></div>","
90.000.000 FCFA ","
426.00 m2","

Abomey-Calavi, Togbin","janvier 19, 2024"
8 Hectares à vendre à Allada,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><h2>OPPORTUNITÉ RARE D’HECTARES A VENDRE A ALLADA Lissegazoun</h2><p>Disponible à Allada dans l’arrondissement de Lissegazoun village Azohouè-Gbedjicomey un domaine de 8 hectares 69ca 22ca à vendre ensemble.<br/>
C’est une zone déjà habitée et accessible pour l’agriculture, ferme et autre.</p><ul><li>Document : Attestation de Détention Coutumière (ADC) déjà disponible</li><li>Prix revu à la baisse: 4millions / hectare</li><li>Droit de visite : 5000 Fcfa</li><li>Commission : 5%</li></ul></div>","
4.000.000 FCFA / Hectare","
80.000.00 m2","

Allada, Allada","janvier 19, 2024"
Parcelles à vendre à Maria Gléta Awakè Calavi,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Disponibles des parcelles à vendre de 333m² déjà recasées dans un domaine à TITRE FONCIER GLOBAL sise à Calavi MARIA-GLÉTA AWAKÈ (Secteur 13) dans une zone fortement habitable et électrifiée.</div><ul><li dir=""auto"">Documents : Titre foncier Global, levé topographique et les reçus du recasement</li><li dir=""auto"">Propriétaire est vivant</li><li dir=""auto"">NB: C’est une vente notariale</li><li dir=""auto"">Prix de vente :  5.500.000F CFA par parcelle</li><li dir=""auto"">Commission : 5 %</li><li dir=""auto"">Droit de visite : 5000 F</li></ul></div></div>","
5.500.000 FCFA / Parcelle","
N° ID Propriété49219","

Abomey-Calavi, Maria Gléta","janvier 8, 2024"
Parcelle de 400m² avec titre foncier à vendre à Pahou,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Opportunité d’une parcelle de 400m² avec un titre foncier personnel à vendre à Pahou Adovié, à 2mn de l’église catholique et à 4mn de l’entreprise ADEOTIE.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><div dir=""auto"">Prix de cession : 2.800.000 FCFA</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><div dir=""auto"">Commission de l’acquéreur: 5℅ du prix d’achat</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><div dir=""auto"">Visite sur rendez-vous</div><div dir=""auto"">Droit de visite : 5000 Fcfa</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><div dir=""auto""></div></div></div>","
2.800.000 FCFA ","
400.00 m2","

Ouidah, Pahou","janvier 8, 2024"
Parcelle clôturée de 317 m2 à vendre à Fidjrossè Akogbato,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Nous vous présentons l’opportunité d’une parcelle clôturée, lotie et recasée de 317 m2 à vendre à Fidjrossè Akogbato côté de l’hôpital Militaire non loin du carrefour Club des rois. La parcelle est d’une terre ferme et propriétaire vivant, une opportunité à vite saisir.</p><p>Superficie : 317m2</p><p>Prix : 18 millions Fcfa</p><p>Commission : 5 %</p><p>Droit de visite : 5000 Fcfa</p><p> </p></div>","
18.000.000 FCFA ","
317.00 m2","

Cotonou, Akogbato, Fidjrossè","janvier 8, 2024"
276 Hectares de terre agricole avec ADC à vendre à Kétou,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Opportunité de 276 hectares de terre agricole avec l’Attestation de Détention Coutumière (ADC) à vendre à Kétou à 8 km du goudron et au bord de la voie principale. Le domaine agricole en vente est situé dans le département de Plateau, commune de Kétou arrondissement de Idigny village de Akpakanmè. Plusieurs installations agricoles de grandes personnalités sont dans la zone.</p><ul><li>Achat minimum : 50 hectares</li><li>Prix : 450.000 Fcfa négociable selon le nombre d’hectares</li><li>Visite sur rendez-vous</li><li>Droit de visite : 10.000 Fcfa</li></ul><p> </p></div>","
450.000 FCFA / Hectare","
2.760.000.00 m2","

Kétou, Kétou","janvier 7, 2024"
Domaine de 3 parcelles avec TF à vendre à Fidjrossè plage,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p><strong>DOMAINE DE TROIS (03) GRANDES PARCELLES ENSEMBLES DONT CHACUNE AVEC SON TITRE FONCIER PERSONNEL DE SUPERFICIE TOTALE : 1568 M² (584m²+ 499m² + 485m² ) A 80 MILLIONS FCFA CHACUNE</strong></p><p>Nous mettons en vente pour le compte de son propriétaire vivant une opportunité d’un domaine de (1568m²) composé de trois (03) grandes parcelles ensembles dont chacune avec son titre foncier personnel de superficies respectives 584 m², 499 m² et 485 m² en angle de rue à Fidjrossè plage dans une zone résidentielle très calme sécurisée et paisible</p><p>Documents : Titres Foncier</p><p>Pièces jointes : Copies des titres fonciers et Levés topographiques</p><p>Prix de cession : 80 millions FCFA l’unité</p><p>Prix de cession du domaine (1568m²) : 240 Millions FCFA.</p><p>Commission : 5 %</p><p>Droit de visite : 5000 F</p></div>","
80.000.000 FCFA / Par parcelle","
1.568.00 m2","

Cotonou, Fidjrossè","janvier 7, 2024"
Parcelle de 564M² avec titre foncier à vendre à Adounko,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><h2>OPPORTUNITE : PARCELLE DE 564M² AVEC TITRE FONCIER ADOUNKO</h2><p>Nous mettons en vente une parcelle de 564m² extrait d’un domaine Titre Foncier, Tire Foncier individuel (Encours) à Adounko. Le terrain à vendre est situé à 50m de la branche de voie qui quitte la route des pêches vers carrefour Hêvié, voie en asphaltage actuellement à 2km environ de la route des pêches, côté plage.<br/>
Le domaine s’appelle  » LA CITÉ DES CADRE ». La parcelle se situe en bordure d’une voie de 12 mètres.</p><ul><li>Prix: 15.000.000 FCFA</li><li>Commission : 5 %</li><li>Droit de visite : 5000 Fcfa</li></ul></div>","
15.000.000 FCFA ","
564.00 m2","

Ouidah, Adounko","janvier 7, 2024"
3 Parcelles à vendre à Kpomassè,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Nous vous présentons un ensemble de trois (3) parcelles à vendre à Kpomassè dans la localité de Agonkamey à 80 mètres environ de la route goudronnée.</p><ul><li>Superficie : 500 m2 chacune</li><li>Localité Agonkanmey</li><li>Document : A D C</li><li>Prix de vente: 1.200.000 Fcfa par parcelle</li></ul></div>","
1.200.000 FCFA / Parcelle","
500.00 m2","

Kpomassè, Kpomassè","janvier 6, 2024"
Domaine d’un hectare à vendre à Avlékété Ouidah,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><h2><span style=""color: #ff0000;"">OPOTUNITE À NE PAS RATER</span> : DOMAINE D’UN HECTARE A VENDRE A AVLEKETE OUIDAH</h2><p>Un domaine d’un hectare à vendre situé à Kpota lieudit Gbahou dans l’arrondissement d’Avrékété commune de Ouidah à 100 mètres environ de la route des pêches , 50 mètres du lac Djèssin et 300 mètres de la mer dans une zone habitable.</p><ul><li>Prix : 35 Millions Fcfa</li><li>Document : grosse de la justice, levé topographie du domaine</li><li>Commission : 5 %</li><li>Droit de visite : 5000 Fcfa</li><li>Visite sur rendez-vous</li></ul></div>","
35.000.000 FCFA ","
10.000.00 m2","

Ouidah, Avlékété","janvier 18, 2024"
2 Parcelles à vendre à Fidjrossè Adjaha Cotonou,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Nous mettons en vente à Fidjrossè Cotonou dans la rue de la BOA ADJAHA, deux parcelles ensembles ouvrant sur deux (02) rues. Les parcelles sont adjacentes et sont entièrement clôturées avec portail.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><ul><li dir=""auto"">Superficie : 643m²</li><li dir=""auto"">Document : Permis d’habiter</li><li dir=""auto"">Prix : 65 millions F négociables</li><li dir=""auto"">Commission : 5 %</li><li dir=""auto"">Visite sur rendez-vous</li><li dir=""auto"">Droit de visite : 5000 F</li></ul></div></div>","
65.000.000 FCFA Négociables","
N° ID Propriété49054","

Cotonou, Fidjrossè","janvier 4, 2024"
2 Parcelles ensembles sur TF à vendre à Calavi Togba,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto""><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Dans un domaine titre foncier, nous avons à disposition 2 parcelles ensembles morcelées à vendre à Calavi TOGBA, juste après le bar secteur 3.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><ul><li dir=""auto"">Superficie par parcelle : 400 m²</li><li dir=""auto"">Prix unitaire : 5 500 000 FCFA non négociable</li><li dir=""auto"">Visite sur rendez-vous</li><li dir=""auto"">Commission : 5 %</li><li dir=""auto"">Droit de visite : 5000 F</li></ul></div></div></div></div>","
5.500.000 FCFA / Parcelle","
800.00 m2","

Abomey-Calavi, Calavi, Togba","janvier 4, 2024"
Parcelles à vendre à Hêvié Dénou 300 m du goudron,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><div dir=""auto"">Disponible un lot de parcelles déjà loties et recasées à vendre à Hêvié Dénou (zone pratiquement à Ouèdo non loin des logements sociaux) dans la commune d’<a href=""https://benin-immo.com/ville/abomey-calavi/"">Abomey Calavi</a>. Le domaine doté d’un titre foncier est situé à environ 300 m du goudron et 500m du Carrefour Dénou.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><ul><li dir=""auto"">Superficie : 350 m2 par parcelle</li><li dir=""auto"">Prix : 3.900.000 fcfa par parcelle</li><li dir=""auto"">Zone électrifiée et habitée</li><li dir=""auto"">Commission : 5 %</li><li dir=""auto"">Droit de visite : 5000 F</li></ul></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><div dir=""auto"">NB: La transaction se faire chez un notaire. La zone est immédiatement habitable</div></div></div>","
3.900.000 FCFA / Parcelle","
350.00 m2","

Abomey-Calavi, Hêvié","janvier 3, 2024"
Parcelle de 329 m² avec Titre Foncier à vendre à Agla,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Opportunité immobilière d’une parcelle de 329 m² déjà lotie et recasée doté d’un titre foncier à vendre à <a href=""https://benin-immo.com/localite/agla/"">AGLA</a> maison du peuple et en<br/>
4 ème position des pavés.</p><ul><li>Superficie : : 329 m²</li><li>Documents : Titre Foncier Individuel</li><li>Propriétaire vivant</li><li>Prix : 25 millions non négociables</li><li>Commission : 5 %</li><li>Visite sur rendez-vous et droit de visite de 5000 F</li></ul></div>","
25.000.000 FCFA Non Négociables","
329.00 m2","

Agla","janvier 18, 2024"
Parcelle de 512 m2 à vendre Fidjrossè Akogbato,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Nous vous proposons une parcelle de 512 m2 à vendre dans la Cité Glèlè à <a href=""https://benin-immo.com/localite/fidjrosse/"">Fidjrossè</a> Akogbato à Cotonou dotée d’une attestation de recasement. Le terrain en vente est situé en 4 ème position des pavés avec de vieilles bâtisses à raser dans une zone résidentielle très calme, sécurisée et accessible en toute saison.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><ul><li dir=""auto"">Superficie 512 M²</li><li dir=""auto"">Document: Attestation de recasement</li><li dir=""auto"">Pièce jointe : Levé topographique</li><li dir=""auto"">Prix de cession : 45 millions FCFA</li><li dir=""auto"">Commission : 5%</li><li dir=""auto"">Droit de visite : 5000 Fcfa</li><li dir=""auto"">Visite sur rendez-vous</li></ul></div></div>","
45.000.000 FCFA ","
512.00 m2","

Cotonou, Akogbato, Fidjrossè","janvier 3, 2024"
Parcelle de 500 m2 à vendre à Cadjèhoun,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Nous vous proposons une parcelle de 500 m2 sur laquelle se trouve une vieille construction de maison locative à vendre Cadjèhoun Kpota <a href=""https://benin-immo.com/ville/cotonou/"">Cotonou</a>. Le terrain est situé non loin du supermarché Franc-prix.</p><ul><li>Superficie : 500 M2</li><li>Documents : Titre Foncier</li><li>Prix : 90 Millions Fcfa</li><li>Visite sur rendez-vous</li><li>Droit de visite : 5000 F</li><li>Commission : 5 %</li></ul><p> </p></div>","
90.000.000 FCFA ","
500.00 m2","

Cotonou, Cadjèhoun","janvier 3, 2024"
Vente de 2 parcelles à Fidjrossè Togbin,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Nous mettons en vente deux (02) parcelles ensemble déjà loties et recasées situées au bord des pavés carrefour Club des Rois – Fidjrossè Akogbato très bien positionnée.</p><p>Superficie : 800m² (400*2)</p><p>Prix : 90 millions Fcfa</p><p>NB: dossier avec le notaire</p><p>NB 2: Commission acquéreur 5%</p><p>Visite sur rendez-vous</p><p>Droit de visite : 5000 F</p></div>","
90.000.000 FCFA / Les 2 Parcelles","
800.00 m2","

Cotonou, Akogbato, Fidjrossè","janvier 3, 2024"
Parcelle de 329 m2 à vendre à Togbin Daho,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a""><div dir=""auto"">Nous vous proposons cette belle opportunité d’une de parcelle déjà lotie, récasée et clôturée de 329 m2 bien située en 3ème position de la route des pêches à vendre à <a href=""https://benin-immo.com/localite/togbin/""><strong>Togbin</strong></a> plage.  Du portail, vous avez une vue sur la plage et la mer. Elle est située à 200m environ du carrefour Togbin Daho plage dit « carrefour SONAGNON » dans l’arrondissement de Godomey commune d’Abomey-Calavi.</div></div><div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><ul><li dir=""auto"">Superficie du terrain : 329m2</li><li dir=""auto"">Document : Titre Foncier En cours</li><li dir=""auto"">Prix:  50 Millions FCFA</li><li dir=""auto"">Droit de visite : 5000 Fcfa</li><li dir=""auto"">Commission : 5 %</li></ul><p>Veuillez nous contacter pour plus de renseignement afin de vite saisir cette opportunité.</p></div></div>","
","
329.00 m2","

Abomey-Calavi, Togbin","janvier 3, 2024"
2 Parcelles à vendre à Fidjrossè Fiyégnon Agongbomin,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Disponibles deux parcelles ensembles à vendre à <a href=""https://benin-immo.com/localite/fidjrosse/"">Fidjrossè</a> Fiyégnon Agongbomin Cotonou pour le compte d’un propriétaire vivant. Une belle opportunité de deux ( 02) parcelles ensembles recasées de superficie une de 323 m² et l’autre 245 m² situées à 300m des pavés Club de Rois à Fidjrossè dans une zone très calme, sécurisées.</p><ul><li>Superficie totale : 568m²</li><li>Documents : Attestations de recasement, Levés topographiques</li><li>Prix : 75 millions FCFA négociables</li><li>Commission : 5 %</li><li>Droit de visite : 5000 Fcfa</li><li>Visite sur rendez-vous</li></ul></div>","
","
568.00 m2","

Cotonou, Fidjrossè","janvier 3, 2024"
Duplex à vendre à Fidjrossè Cotonou,"<div class=""wpestate_property_description"" id=""wpestate_property_description_section""><h4 class=""panel-title"">Description</h4><p>Nous vous proposons un duplex à vendre à <a href=""https://benin-immo.com/localite/fidjrosse/"">Fidjrossè</a> Cotonou non loin de la clôture de l’aéroport construit sur un terrain de 662 m² et situé sur un angle de rue. Le duplex est composé de :</p><ul><li> Un Salon</li><li>Cinq chambres avec chacune sa douche</li><li>Deux baignoires et chauffe eau</li><li>Deux douches</li><li>Toilette visiteurs</li><li>Garages pour cinq voitures</li><li>Véranda en bas et en haut</li><li>Deux grandes terrasses en haut et un petit magasin qui peut servir salle des fêtes où salle de conférence</li><li>Quatre boyeries avec leurs douches</li><li>Prix: 250 Millions Fcfa négociable</li><li>Droit de visite : 5000 F</li><li>Commission : 5 %</li></ul></div>","
250.000.000 FCFA Négociable","










5 Salles de bain","

Cotonou, Fidjrossè","janvier 3, 2024"
